name,price,capacity_w,capacity_va
Tripp Lite SU6000RT3UHVXL,0.0,4200.0,6000.0
Tripp Lite SU6000RT4U,0.0,4200.0,6000.0
Tripp Lite SU6000RT4UHVHW,0.0,5400.0,6000.0
Tripp Lite SU6000RT4UTF,0.0,5400.0,6000.0
Tripp Lite SU750RTXL2U,0.0,600.0,750.0
Tripp Lite SU750RTXLCD2U,771.48,675.0,750.0
Tripp Lite SU750XL,0.0,600.0,750.0
Tripp Lite SU8000RT3U,0.0,6400.0,8000.0
Tripp Lite SU8000RT3UG,0.0,6400.0,8000.0
Tripp Lite SU8000RT4U,0.0,5600.0,8000.0
Tripp Lite SUINT1000RTXL2UA,0.0,800.0,1000.0
Tripp Lite SUINT1500RTXL2UA,0.0,1200.0,1500.0
Tripp Lite SUINT2200RTXL2UA,0.0,1600.0,2200.0
Tripp Lite SUINT3000RTXL2U,0.0,2500.0,3000.0
Tripp Lite SUINT3000RTXL3U,0.0,2400.0,3000.0
Tripp Lite SU1500RMNAFTA,0.0,1200.0,1500.0
Tripp Lite SU1500RTXL2U,0.0,1200.0,1500.0
Tripp Lite SU1500RTXL2UA,0.0,1200.0,1500.0
Tripp Lite SMX5000XLRT3U,0.0,3750.0,5000.0
Tripp Lite SMX500RT1U,297.74,300.0,500.0
Tripp Lite SMX750SLT,0.0,500.0,750.0
Tripp Lite SU10000RT3U2TF,7653.95,8000.0,10000.0
Tripp Lite SU1000RTXL2UA,815.89,800.0,1000.0
Tripp Lite SU1000RTXLCD2U,751.66,900.0,1000.0
Tripp Lite SU1000XLA,0.0,800.0,1000.0
Tripp Lite SU1000XLCD,641.67,900.0,1000.0
Tripp Lite SU10KRT3U,7588.99,7000.0,10000.0
Tripp Lite SU12000RT4UHW,0.0,8400.0,12000.0
Tripp Lite SMART750,0.0,450.0,750.0
Tripp Lite SMART750RMXL2U,735.57,600.0,750.0
Tripp Lite SMART750SLT,431.39,500.0,750.0
Tripp Lite SMART750USB,159.05,450.0,750.0
Tripp Lite SMART750USBTAA,192.93,450.0,750.0
Tripp Lite SMART750XL,0.0,450.0,750.0
Tripp Lite SMART750XLA,0.0,500.0,750.0
Tripp Lite SMARTINT2200VS,0.0,1600.0,2200.0
Tripp Lite SMARTINT3000VS,1344.81,2250.0,3000.0
Tripp Lite SMX1000RT2U,651.91,700.0,1000.0
Tripp Lite SMX1500SLT,0.0,900.0,1500.0
Tripp Lite SMX2200RT2UTAA,0.0,1600.0,2200.0
Tripp Lite SMX2200XLRT2U,1248.51,1920.0,2200.0
Tripp Lite SMX3000RT2UTAA,0.0,2250.0,3000.0
Tripp Lite SMART500RT1UTAA,252.93,300.0,500.0
Tripp Lite SMART550USB,111.5,300.0,550.0
Tripp Lite SMART550USBTAA,0.0,300.0,550.0
Tripp Lite SMART700,0.0,450.0,700.0
Tripp Lite SMART700DVA,159.0,450.0,700.0
Tripp Lite SMART700HG,824.1,450.0,700.0
Tripp Lite SMART700SER,499.0,450.0,700.0
Tripp Lite ECO650LCD,0.0,325.0,650.0
Tripp Lite OMNI1000ISO,0.0,700.0,1000.0
Tripp Lite SMART3000RMOD2U,0.0,2880.0,3000.0
Tripp Lite SMART3000SLT,0.0,2250.0,3000.0
Tripp Lite SMART3000VS,0.0,2250.0,3000.0
Tripp Lite SMART3000VSTAA,0.0,2250.0,3000.0
Tripp Lite SMART5000RT3U,0.0,4000.0,5000.0
Tripp Lite INTERNET900U,137.99,480.0,900.0
Tripp Lite OMNI750ISO,0.0,500.0,750.0
Tripp Lite OMNISMARTINT500PNP,0.0,300.0,500.0
Tripp Lite SMART1050NET,0.0,705.0,1050.0
Tripp Lite SMART5000RT3UXR,0.0,4000.0,5000.0
Tripp Lite SMARTINT1400RM,0.0,940.0,1400.0
Tripp Lite SMX1000LCD,0.0,500.0,1000.0
APC BK350,119.99,210.0,350.0
APC BK500,159.99,300.0,500.0
APC BR1500I,0.0,865.0,1500.0
APC DLRT8000RMXLI6U,0.0,6400.0,8000.0
APC SU2200R3X167,0.0,1980.0,2200.0
APC SU700X167,0.0,450.0,700.0
APC SUA1000,0.0,670.0,1000.0
APC SUA1000RM1U,0.0,640.0,1000.0
APC SUA1000RM2U,0.0,670.0,1000.0
APC SUA1000US,0.0,670.0,1000.0
APC SUA1000XL,0.0,800.0,1000.0
APC SUA1500-RF,0.0,980.0,1440.0
APC SUA1500RM2U,0.0,980.0,1440.0
APC SUA1500X93,0.0,980.0,1440.0
APC SUA2200X115,0.0,1980.0,2200.0
APC SUA3000RMXLI3U,0.0,2700.0,3000.0
APC SUA750RM1U,0.0,480.0,750.0
APC SUA750RMI1U,0.0,480.0,750.0
CyberPower BRG1350AVRLCD,0.0,810.0,1350.0
CyberPower BRG1500AVRLCD,0.0,900.0,1500.0
CyberPower BRG850AVRLCD,0.0,510.0,850.0
CyberPower CP550SLGTAA,0.0,330.0,550.0
CyberPower CP685AVR,0.0,390.0,685.0
CyberPower CP685AVRLCD,115.95,390.0,685.0
CyberPower CP750LCD,0.0,420.0,750.0
CyberPower CP750LCDTAA,0.0,420.0,750.0
CyberPower CP800AVR,119.99,450.0,800.0
CyberPower CP825LCD,0.0,450.0,825.0
CyberPower CS24C12V2-E,0.0,24.0,0.0
CyberPower EC350G,0.0,255.0,350.0
CyberPower OL10000RT3U,0.0,9000.0,10000.0
CyberPower OL1500RTXL2U,1149.95,1350.0,1500.0
CyberPower OL2000RTXL2U,0.0,1800.0,2200.0
CyberPower OL3000RMXL2U,0.0,2100.0,3000.0
CyberPower OL6000RT3U,0.0,5400.0,6000.0
CyberPower OL8000RT3U,0.0,7200.0,8000.0
CyberPower OR1000LCDRM1U,459.95,600.0,1000.0
CyberPower OR1500LCDRT2U,495.95,900.0,1500.0
CyberPower OR1500PFCRT2U,577.95,900.0,1500.0
CyberPower OR2200PFCRT2Ua,0.0,1300.0,2200.0
CyberPower OR700LCDRM1U,299.95,400.0,700.0
CyberPower PP800SW,0.0,550.0,800.0
CyberPower PR1000LCDRM1U,0.0,750.0,1000.0
CyberPower PR1000LCDRT2UTAA,0.0,700.0,1000.0
CyberPower PR1000LCDRTXL2U,0.0,900.0,1000.0
CyberPower PR1000LCDRTXL2UA,0.0,750.0,1000.0
CyberPower PR1500LCDRT2U,0.0,1350.0,1500.0
CyberPower PR1500LCDRTXL2U,0.0,1350.0,1500.0
CyberPower PR1500LCDRTXL2UTAA,0.0,1125.0,1500.0
CyberPower PR1500LCDTAA,0.0,1050.0,1500.0
CyberPower PR1500SWRM2U,0.0,1000.0,1500.0
CyberPower PR2200LCDRT2U,0.0,1600.0,2170.0
CyberPower PR2200LCDRTXL2U,0.0,2150.0,2150.0
CyberPower PR2200LCDRTXL2UTAA,0.0,1650.0,2150.0
CyberPower PR2200SWRM2U,0.0,1500.0,2200.0
CyberPower PR3000LCDRT2U,0.0,2700.0,3000.0
CyberPower PR3000LCDRT2UTAA,0.0,2250.0,3000.0
CyberPower PR3000LCDRTXL2UTAA,0.0,2400.0,3000.0
CyberPower PR5000LCDRTXL5UTAA,0.0,4000.0,5000.0
CyberPower PR6000LCDRTXL5U,0.0,4500.0,6000.0
CyberPower PR750LCD,454.95,525.0,750.0
CyberPower PR750LCDRM1U,0.0,560.0,750.0
CyberPower PR750LCDRT1U,475.95,600.0,700.0
CyberPower PR750LCDRTXL2U,0.0,675.0,750.0
CyberPower PR750LCDTAA,0.0,525.0,750.0
CyberPower SE425G,0.0,255.0,425.0
CyberPower CS50U48V,0.0,50.0,0.0
Tripp Lite SMART500RT1U,253.58,300.0,500.0
Belkin F6C500-UNV,0.0,275.0,500.0
Fellowes 99066,0.0,0.0,500.0
Fujitsu S26113-E400-L1,0.0,980.0,1500.0
HP AF418A,0.0,1000.0,1500.0
HP AF446A,0.0,500.0,750.0
HP AF447A,0.0,500.0,750.0
HP AF448A,0.0,670.0,1000.0
HP AF451A,0.0,950.0,1400.0
HP AF460A,0.0,4500.0,5000.0
HP AF463A,0.0,6300.0,6300.0
HP AF466A,0.0,2700.0,2880.0
HP AF467A,0.0,3000.0,3300.0
HP AF468A,0.0,3000.0,3300.0
HP AF469A,0.0,1000.0,1500.0
HP AF471A,0.0,1000.0,1500.0
IBM 53951AX,0.0,1000.0,1500.0
IBM 53951KX,0.0,1000.0,1500.0
IBM 53952KX,0.0,1920.0,2200.0
IBM 53953KX,0.0,2700.0,3000.0
Lenovo 33L3478,0.0,0.0,675.0
APC SU3000RMTX136,0.0,2250.0,3000.0
APC BX600CI-IN,0.0,360.0,600.0
CyberPower GX1325U,0.0,810.0,1325.0
CyberPower XC625,0.0,375.0,625.0
CyberPower BRG1500AVRLCD2,259.95,900.0,1500.0
