name,price,protocol,interface,color
IOGEAR GWU735,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
Rosewill RNX-AC1200UBE2,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
Rosewill RNX-N600UB,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
StarTech USB300WN2X2C,18.98,Wi-Fi 4,USB Type-A 2.0,Unknown
StarTech USB867WAC22,32.86,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
Edimax EW-7711MAC,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
Intel 6300,0.0,Wi-Fi 4,Mini-PCIe,Unknown
Intel 7260,37.49,Wi-Fi 4,Mini-PCIe,Unknown
Intel 7260,0.0,Wi-Fi 4,Mini-PCIe,Unknown
Intel 7260,0.0,Wi-Fi 4,Mini-PCIe,Unknown
Edimax EW-7811DAC,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
AUKEY WF-R12,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
Athenatech NE-WN3201D,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
D-Link DWA-192,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
TRENDnet TEW-806UBH,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
Rosewill RNX-N600PCE_v2.0,0.0,Wi-Fi 4,PCIe x1,Unknown
Rosewill RNX-N150NUB,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Rosewill RNX-N150NUB,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Rosewill RNX-N150NUB,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Linksys AE2500-CA,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Netgear WF2190,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
Rosewill RNX-AC600PCEv3,0.0,Wi-Fi 5,PCIe x1,Black
Hawking Technology HW17ACU,41.89,Wi-Fi 5,USB Type-A 2.0,Black
Asus USB-AC55 B1,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Rosewill RNX-AC2030PCE,0.0,Wi-Fi 5,PCIe x1,Red / Black
TP-Link ARCHER T4UHP,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Hawking Technology HW12ACU,52.99,Wi-Fi 5,USB Type-A 2.0,Black
Syba SY-PEX23059,0.0,Wi-Fi 4,PCIe x1,Green / Black
Sabrent USBG802,0.0,Wi-Fi 3,USB Type-A 2.0,Black
Sabrent USB-802N,25.66,Wi-Fi 4,USB Type-A 2.0,Black
Belkin Linksys AE1200-NP,0.0,Wi-Fi 4,USB Type-A 3.2 Gen 1,Black
Intel AX210,0.0,Wi-Fi 6E,M.2 PCIe,Green
Intel AX210 w/vPro,0.0,Wi-Fi 6E,M.2 PCIe,Green
D-Link DWA-181-US,21.28,Wi-Fi 5,USB Type-A 2.0,Black
SIIG JU-WR0112-S2,22.58,Wi-Fi 4,USB Type-A 2.0,Black
